  last_name  |     return_date     
-------------+---------------------
 PURDY       | 2005-06-03 01:43:41
 WALTERS     | 2005-05-29 20:34:53
 ROMERO      | 2005-05-27 23:33:46
 ISOM        | 2005-05-31 22:44:21
 BURNS       | 2005-06-02 20:56:02
 BYRD        | 2005-05-30 05:44:27
 CURLEY      | 2005-05-26 04:42:11
 MARTINEZ    | 2005-05-31 06:35:47
 HARPER      | 2005-05-27 02:20:41
 MORRELL     | 2005-05-26 01:01:46
 FORTIER     | 2005-05-26 04:52:23
 BAKER       | 2005-05-27 21:25:20
 BAUGHMAN    | 2005-05-30 01:13:50
 REID        | 2005-05-26 09:26:37
 TURNER      | 2005-05-30 00:31:12
 DUGGAN      | 2005-05-29 00:10:28
 VU          | 2005-05-27 07:02:36
 CASTILLO    | 2005-05-31 03:14:46
 GUAJARDO    | 2005-05-31 02:47:58
 RENNER      | 2005-05-26 06:54:25
 CASTILLO    | 2005-05-29 10:56:23
 QUIGLEY     | 2005-06-02 09:56:39
 MILLER      | 2005-06-02 08:18:08
 SANBORN     | 2005-05-30 10:12:35
 GARCIA      | 2005-05-28 11:28:53
 RHOADS      | 2005-05-31 01:27:29
 GARDINER    | 2005-05-27 05:19:16
 HOLT        | 2005-06-01 05:05:25
 DAVIS       | 2005-05-29 06:42:32
 FOWLER      | 2005-06-02 07:22:57
 LONG        | 2005-05-29 04:16:12
 MARSHALL    | 2005-05-27 13:46:01
 ORTIZ       | 2005-05-31 10:20:31
 MCCRARY     | 2005-05-27 14:02:14
 BROOKS      | 2005-05-27 05:56:23
 EVANS       | 2005-05-28 05:52:13
 GAMEZ       | 2005-06-01 13:56:07
 TERRY       | 2005-05-26 12:23:48
 SMITH       | 2005-06-03 12:00:37
 REA         | 2005-05-26 16:53:59
 MASON       | 2005-05-31 12:48:18
 DAY         | 2005-06-03 10:54:07
 LINTON      | 2005-05-31 17:46:07
 LUCAS       | 2005-06-02 14:08:19
 ROBERT      | 2005-05-29 11:12:43
 MORRIS      | 2005-05-29 09:32:54
 SILVERMAN   | 2005-05-31 13:40:46
 HARDISON    | 2005-06-02 18:55:52
 EDWARDS     | 2005-05-30 10:47:19
 HOPKINS     | 2005-05-28 12:13:24
 WALTERS     | 2005-05-27 11:29:24
 COLE        | 2005-05-30 12:03:12
 AUSTIN      | 2005-06-04 00:01:19
 BAUGH       | 2005-06-03 22:46:09
 BARCLAY     | 2005-05-29 20:39:20
 MARTINEZ    | 2005-06-03 18:13:49
 FOSTER      | 2005-05-27 22:16:40
 MILLER      | 2005-05-31 23:59:46
 STEWART     | 2005-05-29 23:51:02
 SCHWARZ     | 2005-06-01 23:29:47
 MENDOZA     | 2005-05-30 00:47:11
 LEWIS       | 2005-06-04 01:25:03
 COOK        | 2005-05-30 22:41:56
 BUNN        | 2005-05-30 23:25:46
 GILBERT     | 2005-05-30 00:26:30
 ARCHULETA   | 2005-06-01 02:30:18
 STCLAIR     | 2005-05-29 20:21:22
 ROBINS      | 2005-05-29 00:46:47
 RHODES      | 2005-05-27 21:41:52
 RICO        | 2005-06-01 21:41:56
 BONE        | 2005-06-04 00:20:11
 JENNINGS    | 2005-05-29 23:21:50
 BURNS       | 2005-06-01 19:29:23
 WEINER      | 2005-06-02 21:30:05
 ISBELL      | 2005-06-01 02:10:39
 HARPER      | 2005-05-29 23:18:56
 BILLINGSLEY | 2005-05-26 21:17:21
 NGO         | 2005-06-03 00:30:11
 HALE        | 2005-05-27 03:38:05
 BULL        | 2005-06-02 02:09:43
 BOUDREAU    | 2005-05-27 01:37:30
 HARDISON    | 2005-06-03 00:24:15
 CARROLL     | 2005-05-29 04:11:42
 MILAM       | 2005-05-28 01:37:10
 WALDROP     | 2005-05-28 07:13:10
 PARKER      | 2005-06-03 06:01:26
 FOWLER      | 2005-06-01 02:36:39
 CORNISH     | 2005-06-01 08:16:29
 AUSTIN      | 2005-06-04 07:09:46
 STANFIELD   | 2005-05-29 06:34:06
 GILBERT     | 2005-06-01 05:43:17
 WEBB        | 2005-06-02 09:48:03
 CARY        | 2005-06-03 07:19:52
 CURTIS      | 2005-05-30 06:21:48
 HERNANDEZ   | 2005-05-30 04:08:33
 PFEIFFER    | 2005-05-31 02:47:36
 KNOTT       | 2005-06-03 05:04:21
 HIDALGO     | 2005-06-04 02:02:45
 ELLIS       | 2005-05-29 09:43:37
 PARKER      | 2005-05-27 09:32:38
 GAMEZ       | 2005-05-27 12:12:15
 MURPHY      | 2005-05-30 12:46:41
 BROTHERS    | 2005-05-31 12:33:08
 GRIFFIN     | 2005-05-31 04:06:49
 PETERS      | 2005-05-28 09:45:47
 GOMEZ       | 2005-05-31 03:24:26
 GRECO       | 2005-06-04 11:53:09
 JENKINS     | 2005-05-31 08:36:38
 DELOACH     | 2005-06-01 07:01:50
 MORRISON    | 2005-05-31 13:26:04
 RINEHART    | 2005-05-31 11:56:20
 HOLLAND     | 2005-05-27 08:42:05
 WAUGH       | 2005-05-28 17:28:44
 MENA        | 2005-06-03 10:39:20
 EDWARDS     | 2005-06-01 13:26:26
 DAY         | 2005-05-28 11:43:01
 PEMBERTON   | 2005-06-03 17:28:05
 STONE       | 2005-05-27 09:58:59
 WELCH       | 2005-05-29 10:12:07
 FORD        | 2005-05-28 13:38:05
 NOLAND      | 2005-05-31 14:03:58
 ROBINS      | 2005-05-28 17:47:09
 HEATON      | 2005-05-31 09:19:48
 LEONE       | 2005-05-29 16:25:05
 CORNWELL    | 2005-05-30 18:38:14
 CRAWLEY     | 2005-06-04 15:27:46
 CLARK       | 2005-05-31 13:21:20
 RALSTON     | 2005-06-02 09:47:23
 DEAN        | 2005-05-28 15:49:56
 AQUINO      | 2005-05-30 10:07:40
 BREWER      | 2005-05-27 10:12:49
 HOPKINS     | 2005-05-27 10:55:05
 ESTEP       | 2005-05-30 16:53:21
 MORRISSEY   | 2005-05-27 15:59:46
 LAWSON      | 2005-06-03 12:40:56
 SIMMONS     | 2005-06-03 17:30:01
 JAMES       | 2005-06-03 13:10:11
 ELLIOTT     | 2005-05-29 18:49:36
 JOHNSTON    | 2005-06-02 16:43:58
 STEPP       | 2005-06-03 18:48:50
 VANHORN     | 2005-05-27 18:11:35
 CASTRO      | 2005-06-01 16:32:26
 MARKHAM     | 2005-06-04 14:18:44
 HUDSON      | 2005-05-31 16:58:40
 POULIN      | 2005-06-04 18:00:51
 COLEMAN     | 2005-06-03 20:53:49
 MALCOLM     | 2005-06-03 02:06:47
 STONE       | 2005-06-03 16:45:02
 HOWARD      | 2005-05-27 18:23:20
 CARY        | 2005-06-04 02:31:19
 EVANS       | 2005-05-27 19:52:48
 BOSTIC      | 2005-05-29 22:08:26
 BETANCOURT  | 2005-05-28 00:25:36
 PARKER      | 2005-06-05 01:34:00
 JENNINGS    | 2005-06-01 01:54:14
 SCHILLING   | 2005-06-03 15:49:46
 FORSYTHE    | 2005-05-27 23:41:52
 KENYON      | 2005-06-02 22:33:07
 JIMENEZ     | 2005-06-04 20:24:39
 BREWER      | 2005-06-02 03:10:10
 GORDON      | 2005-06-02 18:14:19
 HIATT       | 2005-05-29 01:29:19
 RYAN        | 2005-05-28 22:49:41
 MEDINA      | 2005-05-29 23:25:55
 GAMEZ       | 2005-06-01 19:56:56
 BAILEY      | 2005-06-03 04:31:39
 JOHNSON     | 2005-05-28 04:30:24
 AQUINO      | 2005-05-31 07:01:55
 BURK        | 2005-06-04 20:25:11
